Netblock,Description,Num IPs
103.2.222.0/24,Thanh Nien Net Telecom JSC,256
103.2.223.0/24,Thanh Nien Net Telecom JSC,256
103.245.148.0/22,Hanel Communication JSC,1024
103.245.148.0/24,Hanel Communication JSC,256
103.245.151.0/24,Hanel Communication JSC,256
27.118.16.0/20,Hanel Communication JSC,4096
27.118.16.0/24,Hanel Communication JSC,256
27.118.17.0/24,Hanel Communication JSC,256
27.118.18.0/24,Hanel Communication JSC,256
27.118.19.0/24,Hanel Communication JSC,256
27.118.20.0/24,Hanel Communication JSC,256
27.118.21.0/24,Hanel Communication JSC,256
27.118.22.0/24,Hanel Communication JSC,256
27.118.23.0/24,Hanel Communication JSC,256
27.118.24.0/24,Hanel Communication JSC,256
27.118.25.0/24,Hanel Communication JSC,256
27.118.26.0/24,Hanel Communication JSC,256
27.118.27.0/24,Hanel Communication JSC,256
27.118.28.0/24,Hanel Communication JSC,256
27.118.29.0/24,Hanel Communication JSC,256
27.118.30.0/24,Hanel Communication JSC,256
27.118.31.0/24,Hanel Communication JSC,256
45.126.92.0/22,Hanel Communication JSC,1024
45.126.93.0/24,Hanel Communication JSC,256
45.126.94.0/24,Hanel Communication JSC,256
45.126.95.0/24,Hanel Communication JSC,256
103.195.236.0/23,AZ VIET NAM COMMUNICATIONS TECHNOLOGY COMPANY LIMITED,512
103.195.238.0/23,AZ VIET NAM COMMUNICATIONS TECHNOLOGY COMPANY LIMITED,512
103.236.251.0/24,Lianyun(Dongguan)nettechcorporation,256
103.75.180.0/23,BQT computer technology,512
103.75.182.0/23,BQT computer technology,512
103.82.32.0/22,SuperHost Company Limited,1024
103.82.32.0/23,SuperHost Company Limited,512
103.82.34.0/24,SuperHost Company Limited,256
103.82.35.0/24,SuperHost Company Limited,256
103.95.156.0/24,"18 Nguyen Du Str, Hai Ba Trung District, Hanoi City",256
115.165.161.0/24,CMC Telecom Infrastructure Company,256
115.165.162.0/24,CMC Telecom Infrastructure Company,256
115.165.163.0/24,CMC Telecom Infrastructure Company,256
115.165.164.0/24,CMC Telecom Infrastructure Company,256
115.165.165.0/24,CMC Telecom Infrastructure Company,256
115.165.167.0/24,CMC Telecom Infrastructure Company,256
124.158.10.0/24,CMC Telecom Infrastructure Company,256
124.158.11.0/24,CMC Telecom Infrastructure Company,256
124.158.12.0/24,CMC Telecom Infrastructure Company,256
124.158.13.0/24,CMC Telecom Infrastructure Company,256
124.158.15.0/24,CMC Telecom Infrastructure Company,256
124.158.8.0/21,CMC Telecom Infrastructure Company,2048
124.158.8.0/24,CMC Telecom Infrastructure Company,256
124.158.9.0/24,CMC Telecom Infrastructure Company,256
103.216.124.0/22,VinhNam Commercial informatics service corporation,1024
116.118.44.0/22,ADSL service,1024
157.119.248.0/22,VinhNam Commercial informatics service corporation,1024
180.93.136.0/22,Saigon Postel Corporation,1024
180.93.172.0/22,Saigon Postel Corporation,1024
180.93.176.0/22,Saigon Postel Corporation,1024
180.93.180.0/22,Saigon Postel Corporation,1024
111.65.242.0/24,FPT ONLINE JSC,256
111.65.243.0/24,FPT ONLINE JSC,256
111.65.244.0/24,FPT ONLINE JSC,256
111.65.245.0/24,FPT ONLINE JSC,256
111.65.246.0/24,FPT ONLINE JSC,256
111.65.247.0/24,FPT ONLINE JSC,256
111.65.248.0/24,FPT ONLINE JSC,256
111.65.249.0/24,FPT ONLINE JSC,256
111.65.250.0/24,FPT ONLINE JSC,256
111.65.251.0/24,FPT ONLINE JSC,256
111.65.252.0/24,FPT ONLINE JSC,256
111.65.253.0/24,FPT ONLINE JSC,256
